_id,category,category_type,qiime_tag,mgrast_tag,tag,definition,required,mixs,type,fw_type,unit
1,project,project,project_name,project-description_project_name,project_name,Name of the project within which the sequencing was organized,1,1,text,text,
2,project,project,study_description,project-description_project_description,project_description,Description of the project within which the sequencing was organized,0,0,text,textarea,
3,project,project,funding,project-description_project_funding,project_funding,Funding source of the project,0,0,text,text,
4,project,project,contact,administrative-contact_PI_email,PI_email,Administrative contact email,1,0,email,text,
5,project,project,contact,administrative-contact_PI_firstname,PI_firstname,Administrative contact first name,1,0,text,text,
6,project,project,contact,administrative-contact_PI_lastname,PI_lastname,Administrative contact last name,1,0,text,text,
7,project,project,STUDY_CENTER,administrative-contact_PI_organization,PI_organization,Administrative contact organization,1,0,text,Address,
8,project,project,,administrative-contact_PI_organization_country,PI_organization_country,Administrative contact country,1,0,ontology,OOD_List,
9,project,project,,administrative-contact_PI_organization_address,PI_organization_address,Administrative contact address,1,0,text,Country,
10,project,project,url,administrative-contact_PI_organization_url,PI_organization_url,Administrative contact organization url,0,0,url,URL,
11,project,project,,technical-contact_email,email,Technical contact email,0,0,email,text,
12,project,project,,technical-contact_firstname,firstname,Technical contact first name,0,0,text,text,
13,project,project,,technical-contact_lastname,lastname,Technical contact last name,0,0,text,text,
14,project,project,,technical-contact_organization,organization,Technical contact organization,0,0,text,OOD_List,
15,project,project,,technical-contact_organization_country,organization_country,Technical contact country,0,0,ontology,Country,
16,project,project,,technical-contact_organization_address,organization_address,Technical contact address,0,0,text,Address,
17,project,project,,technical-contact_organization_url,organization_url,Technical contact organization url,0,0,url,URL,
18,project,project,,,submitted_to_insdc,"Depending on the study (large-scale e.g. done with next generation sequencing technology, or small-scale) sequences have to be submitted to SRA (Sequence Read Archive), DRA (DDBJ Read Archive) or via the classical Webin/Sequin systems to Genbank, ENA and DDBJ",0,1,boolean,boolean,
19,project,project,,,mgrast_id,MG-RAST Project ID,0,0,text,text,
20,project,project,study_id,id,qiime_id,External QIIME Project ID,0,0,text,text,
21,project,project,project_code,,vamps_id,External VAMPS Project code,0,0,text,text,
22,project,project,PROJECT_ID,external-ids_project_id,ncbi_id,External NCBI Project ID,0,0,text,text,
23,project,project,,external-ids_greengenes_study_id,greengenes_id,External Greengenes Study ID,0,0,text,text,
24,project,project,,misc_param,misc_param,"any other measurement performed or parameter collected, that is not listed here",0,1,text,text,
25,sample,sample,sample_name,sample_name,sample_name,Unique name or id of the sample,1,0,text,text,
26,sample,sample,sample_id,sample_id,sample_id,Internal ID of sample,0,0,text,text,
27,sample,sample,latitude,sample-origin_latitude,latitude,The geographical origin of the sample as defined by latitude. The value should be reported in decimal degrees and in WGS84 system,1,1,coordinate,Latitude,
28,sample,sample,longitude,sample-origin_longitude,longitude,The geographical origin of the sample as defined by longitude. The value should be reported in decimal degrees and in WGS84 system,1,1,coordinate,Longitude,
29,sample,sample,,sample-origin_continent,continent,"The geographical origin of the sample as defined by continent.  Use one of: Africa, Antarctica, Asia, Australia, Europe, North America, South America",0,0,select,select,
30,sample,sample,country,sample-origin_country,country,"The geographical origin of the sample as defined by the country or sea name. Country or sea names should be chosen from the INSDC country list (http://insdc.org/country.html), or the GAZ ontology (http://bioportal.bioontology.org/visualize/1397)",1,1,ontology,Country,
31,sample,sample,site_name,sample-origin_location,location,The geographical origin of the sample as defined by the specific local region name,1,1,text,text,
32,sample,sample,depth,sample-origin_depth,depth,"Depth is defined as the vertical distance in meters below surface, e.g. for sediment or soil samples depth is measured from sediment or soil surface, respectivly.",0,1,float,Measurement,meter
33,sample,sample,altitude,sample-origin_altitude,altitude,The altitude of the sample is the vertical distance in meters between Earth's surface above Sea Level and the sampled position in the air.,0,1,float,Measurement,meter
34,sample,sample,elevation,sample-origin_altitude,elevation,The elevation of the sampling site in meters as measured by the vertical distance from mean sea level.,0,1,float,Measurement,meter
